"measurements" "activity.name" "subject" "mean.value"
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 1 0.00306040735
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 2 -0.00635557646875
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 3 0.0166479534356452
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 4 -0.0155037568068519
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 5 0.0553647963480769
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 6 0.032217035422807
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 7 0.0199228239403846
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 8 -0.0219448739555556
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 9 -0.021817851338
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 10 -0.0121815291103448
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 11 0.00143538724210526
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 12 0.0232429679216667
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 13 0.00324191442096774
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 14 0.0116599807576471
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 15 -0.0187121703680556
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 16 0.0259656101685714
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 17 0.0190444742957746
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 18 0.0285001830563077
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 19 0.0113723793
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 20 0.0201551673544118
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 21 0.0209488810833333
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 22 0.0484043605875
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 23 -0.008233394775
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 24 0.00373768258055556
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 25 0.203259965863014
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 26 0.02649011025
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 27 -0.00947344800405405
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 28 -0.0392425155825
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 29 -0.00848450109014493
"angle.tBodyAccJerkMean..gravityMean." "LAYING" 30 0.0369006013185714
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 1 0.0297097878297872
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 2 -0.00339286689565217
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 3 0.00407829679403846
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 4 -0.0075990574098
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 5 -0.0209532538863636
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 6 -0.0238156430418182
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 7 -0.03875147675625
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 8 -0.0175702777717391
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 9 -0.031930473586
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 10 0.0412403814888889
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 11 -0.010568244054717
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 12 -0.0246810833392157
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 13 0.0209112877122449
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 14 0.014669054387037
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 15 0.0122376311237288
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 16 -0.000160159956521735
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 17 0.00281352192328125
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 18 0.0111668165140351
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 19 -0.0203678172205479
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 20 0.0217677662666667
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 21 -0.00161665603176471
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 22 -0.0152935294256452
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 23 -0.00224226963529411
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 24 -0.00503036659779412
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 25 -0.00733065523846154
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 26 0.0334113465417949
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 27 0.0256382561075714
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 28 0.00766235295972222
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 29 0.00583557285
"angle.tBodyAccJerkMean..gravityMean." "SITTING" 30 0.0458753732667742
"angle.tBodyAccJerkMean..gravityMean." "STANDING" 1 0.021963782690566
"angle.tBodyAccJerkMean..gravityMean." "STANDING" 2 0.0411822244577778
"angle.tBodyAccJerkMean..gravityMean." "STANDING" 3 0.0246545250622951
"angle.tBodyAccJerkMean..gravityMean." "STANDING" 4 0.0045729088625
"angle.tBodyAccJerkMean..gravityMean." "STANDING" 5 -0.00572224394107143
"angle.tBodyAccJerkMean..gravityMean." "STANDING" 6 -0.00737862488596491
"angle.tBodyAccJerkMean..gravityMean." "STANDING" 7 -0.0238336055150943
"angle.tBodyAccJerkMean..gravityMean." "STANDING" 8 -0.00820462124444444
"angle.tBodyAccJerkMean..gravityMean." "STANDING" 9 0.00486631672888889
"angle.tBodyAccJerkMean..gravityMean." "STANDING" 10 0.0303705889893182
